,artist,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album,track_id
437,Slint,Washer,0.433,0.0954,-24.127,0.0302,0.378,0.521,0.0852,0.0384,110.054,Spiderland,3oNP9Gh1NY4sjqaVUaNjTQ
438,This Mortal Coil,Song To The Siren (Remastered),0.216,0.24,-12.598,0.0406,0.843,6.09e-06,0.135,0.0875,128.679,It'll End In Tears (Remastered),0BPTTsnnfz44XmZn3EE0oo
439,Message To Bears,You Are a Memory,0.133,0.339,-10.315,0.0339,0.854,0.0422,0.101,0.0291,144.726,Maps,5cWSpmTfItDuppACMrE3I9
440,dandelion hands,Lonely,0.245,0.0454,-22.706,0.033,0.978,0.699,0.356,0.0897,78.062,19,2LY95oBAiaHzWkqKjEwvOT
441,David Lynch,I'm Waiting Here,0.371,0.459,-10.352,0.0429,0.852,0.00224,0.103,0.053,149.795,The Big Dream,136D8hySvs59kAXsTWRrPT
442,Yung Lean,Agony,0.578,0.166,-17.194,0.0335,0.942,0.0069,0.103,0.318,99.891,Stranger,1Wj9ZhqrnbLal0Iyqk6QH1
443,Lingua Ignota,THE SOLITARY BRETHREN OF EPHRATA,0.129,0.206,-15.715,0.0343,0.842,0.434,0.225,0.127,79.75,SINNER GET READY,1MZ4IEhNkgQRZzuyVxHMEH
444,Sibylle Baier,Forget About,0.59,0.106,-17.245,0.0332,0.99,0.648,0.11,0.28,97.042,Colour Green,00epdG9ONPL8KkErbmKW8o
445,London Grammar,Wasting My Young Years,0.54,0.285,-11.377,0.0378,0.855,0.00118,0.0937,0.107,126.881,If You Wait (Deluxe Version),0CzKeBPCiBrGZRV9eLzzBo
446,Tom Rosenthal,It's Ok,0.561,0.111,-15.11,0.0324,0.871,0.205,0.103,0.0607,148.191,The Pleasant Trees,2Iyfw8YfKruAagJwGc4G07
447,Tom Rosenthal,To You Alone,0.627,0.314,-16.714,0.0328,0.928,0.876,0.104,0.326,141.967,Bolu,0w0AsLfLOiKijA7mKGGvse
448,M83,Wait,0.437,0.229,-10.514,0.0308,0.221,0.0599,0.0935,0.0754,147.911,"Hurry Up, We're Dreaming",3rTnGUeDrnZV22DvRuUuXr
449,Band of Horses,The Funeral,0.316,0.769,-5.283,0.0422,0.0142,0.0,0.0928,0.127,122.507,Everything All The Time,4o0NjemqhmsYLIMwlcosvW
450,Various Artists,Sans toi,0.33,0.172,-8.598,0.0298,0.958,5.67e-06,0.128,0.213,80.366,"Balade à Saint-Germain, vol 6. Rue Saint Benoit: Nouvelle Vague",6Ua8O09bUIOpYMtLi2tEbM
451,Brand New,Could Never Be Heaven,0.499,0.217,-14.433,0.0406,0.898,0.295,0.112,0.26,138.17,Science Fiction,7l2u8BDDY5z0zRIuuzDWa7
452,Jeff Buckley,I Know It's Over,0.306,0.243,-11.772,0.0364,0.83,4.05e-06,0.0452,0.187,63.562,You and I (Expanded Edition),2RTLIQRc8yogHh08waQDVa
453,Slowdive,Falling Ashes,0.329,0.256,-13.688,0.0308,0.953,0.754,0.0783,0.136,187.622,Slowdive,4EocLlVV582YshaT7aXZxR
454,Keaton Henson,You,0.298,0.151,-14.479,0.0341,0.769,0.00602,0.105,0.139,158.407,Birthdays,3AsfuEnwyMTHS7mbzcRUdV
455,Thom Yorke,Unmade,0.335,0.304,-11.962,0.0324,0.974,0.941,0.0644,0.119,96.115,Suspiria (Music for the Luca Guadagnino Film),3uqx1JmyAiuVk6YW0HSeAn
456,Mac DeMarco,Moonlight on the River,0.662,0.478,-8.631,0.0451,0.252,0.833,0.216,0.43,139.98,This Old Dog,2fhOljbX79loRcdl47SFye
457,Mystery Jets,Someone Purer,0.481,0.892,-5.05,0.0505,0.0201,2.07e-05,0.122,0.458,164.116,Radlands,4qRwfK2dGr3tM06ByOSRxY
458,Gustavo Santaolalla,The Last of Us (Goodnight),0.535,0.113,-22.767,0.233,0.93,0.635,0.0982,0.333,119.958,The Last of Us,5kK0CQYgpRgBrtMNNN47BG
459,David Bowie,Lazarus,0.66,0.695,-6.896,0.029,0.0466,0.145,0.0854,0.506,129.972,Blackstar,3Vn9oCZbdI1EMO7jxdz2Rc
460,La Dispute,Such Small Hands,0.648,0.732,-5.194,0.0821,0.225,0.00132,0.0682,0.324,159.88,Somewhere at the Bottom of the River Between Vega and Altair (10th Anniversary),0tksWgMFUovmWxDAnkebtO
461,Chartreuse,Tall Grass,0.232,0.176,-13.479,0.0565,0.896,0.225,0.347,0.0387,79.569,Keep Checking up on Me,0guZgOvqTdzIANVInG20qI
462,King Hannah,"And Then out of Nowhere, It Rained.",0.256,0.15,-15.991,0.0354,0.537,0.967,0.111,0.0318,119.743,Tell Me Your Mind and I'll Tell You Mine,3aIFcaTK8ntt05lV91PacZ
463,La Dispute,"Nobody, Not Even the Rain",0.746,0.597,-5.78,0.081,0.257,0.0585,0.0766,0.381,80.034,Somewhere at the Bottom of the River Between Vega and Altair (10th Anniversary),4A5umEOMtQUqgMwREx1sI6
464,La Dispute,FULTON STREET I,0.459,0.495,-11.456,0.0411,0.547,0.698,0.116,0.0838,81.321,Panorama,2gmCBK7g2GUZcMZuZ2HNBI
465,Sleep Party People,Everything Has an End,0.252,0.00189,-17.502,0.035,0.977,0.879,0.0852,0.661,121.57,Sleep Party People,0QppPJTxQTwZt9Pon5zkhH
466,Radiohead,Exit Music (For A Film),0.293,0.276,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,OK Computer,0z1o5L7HJx562xZSATcIpY
467,Sibylle Baier,The End,0.574,0.0994,-14.777,0.0367,0.969,8.6e-05,0.106,0.351,99.291,Colour Green,1buRClsYPnS4HRRz4jRMmy
468,Daughter,All I Wanted,0.612,0.169,-12.702,0.0306,0.84,0.000642,0.106,0.111,83.11,Music From Before the Storm,7veqo9aUtAPnTdvVKNB0KR
469,Daughter,Doing the Right Thing,0.425,0.654,-8.333,0.0613,0.727,0.149,0.069,0.121,136.427,Not To Disappear,5yIDkPhyCXsWuA8fQMcxym
470,Daughter,Smother,0.504,0.139,-16.568,0.0326,0.922,0.105,0.115,0.109,125.115,If You Leave,1qFb85QhwOqpnAKh7ahsGQ
471,Radiohead,Daydreaming,0.299,0.263,-13.207,0.0323,0.968,0.857,0.126,0.113,137.848,A Moon Shaped Pool,1uRxyAup7OYrlh2SHJb80N
472,Spiritualized,Broken Heart,0.0621,0.297,-12.355,0.04,0.584,0.685,0.189,0.0371,54.931,Ladies And Gentlemen We Are Floating In Space,4TtDhLnduKIJmW5nyiumyk
473,Geek Music,The Last Of US- Main Theme,0.572,0.341,-20.382,0.0315,0.953,0.889,0.099,0.421,154.543,The Last Of Us - Main Theme,79vgbkN1IRL0kU4jKLNB13
474,Swans,God Damn The Sun,0.3,0.243,-16.429,0.0301,0.863,0.762,0.149,0.136,168.742,Various Failures,6yOPaDcPhamWUHwM4JYohO
475,Injury Reserve,North Pole,0.599,0.451,-11.657,0.382,0.45,0.0,0.38,0.492,76.784,North Pole,4vHxgU0pbhweLdm2L8uJa3
476,Set Fire To Flames,Love Song for 15 Ontario (W / Singing Police Car),0.298,0.104,-17.321,0.0345,0.944,0.866,0.171,0.0366,114.635,Sings Reign Rebuilder,0qA4HpIXzJY87AuOUxtbuA
477,Mount Eerie,Ravens,0.598,0.163,-18.091,0.0434,0.894,0.0083,0.12,0.258,128.051,A Crow Looked at Me,2N9DSzHxPdD3g1eZi2s8Zk
478,Mount Eerie,"Emptiness, Pt. 2",0.41,0.116,-20.27,0.0626,0.875,0.0724,0.105,0.122,178.89,A Crow Looked at Me,38aViCOgS3jHBTr0QTBv4n
479,Son Lux,Lost It To Trying,0.439,0.833,-6.903,0.0817,0.0822,0.0427,0.0691,0.274,160.001,Lanterns,7frqaCMi7gVCD7JBuDrmEd
480,The Districts,Funeral Beds,0.337,0.542,-9.443,0.0312,0.0238,0.0405,0.268,0.117,112.153,Telephone,2I3D1f3jdWVojq4RK2Eqa3
481,Ben Ottewell,The Crossing,0.317,0.326,-13.351,0.0297,0.673,0.000428,0.0969,0.134,183.718,The Crossing,1HB8UlUwvEpwYAmMOX8Nmi
482,Son Lux,Let Me Follow,0.484,0.218,-13.423,0.0305,0.765,0.0304,0.11,0.128,87.983,Original Music from and Inspired By: The Disappearance of Eleanor Rigby (Original Motion Picture Soundtrack),4mBA0FHbLRbGXAqQJBepUb
483,Fields Of The Nephilim,And There Will Your Heart Be Also,0.369,0.453,-17.744,0.0392,0.145,0.826,0.117,0.255,118.823,Elizium,2RjNZb9l6eWAGNZA5wxKYg
