,artistName,trackName,plays_count,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
747,Jakub Grabowski,Mój przykry lajf (Jakub On Stage),7,0.584,0.532,-5.77,0.296,0.342,0.0,0.562,0.416,173.913
748,Anderson .Paak,The Season/Carry Me,7,0.387,0.716,-7.71,0.403,0.0888,0.0,0.343,0.595,78.995
749,Anderson .Paak,The Season/Carry Me,7,0.387,0.716,-7.71,0.403,0.0888,0.0,0.343,0.595,78.995
750,FKA twigs,killer,7,0.401,0.619,-7.035,0.21,0.168,0.0,0.272,0.757,78.763
751,FKA twigs,killer,7,0.401,0.619,-7.035,0.21,0.168,0.0,0.272,0.757,78.763
752,MGMT,Little Dark Age,7,0.706,0.712,-6.156,0.0385,0.0102,0.00087,0.1,0.62,97.513
753,MGMT,Little Dark Age,7,0.706,0.712,-6.156,0.0385,0.0102,0.00087,0.1,0.62,97.513
754,Hania Rani,Home,7,0.516,0.0631,-32.765,0.0357,0.986,0.937,0.0988,0.576,127.683
755,Hania Rani,Home,7,0.516,0.0631,-32.765,0.0357,0.986,0.937,0.0988,0.576,127.683
756,Dominic Fike,Cancel Me,7,0.669,0.875,-2.266,0.308,0.456,6.77e-06,0.0857,0.768,170.086
757,Dominic Fike,Cancel Me,7,0.669,0.875,-2.266,0.308,0.456,6.77e-06,0.0857,0.768,170.086
758,Dominic Fike,Why,7,0.694,0.852,-2.678,0.0408,0.346,0.00886,0.109,0.349,116.994
759,Dominic Fike,Why,7,0.694,0.852,-2.678,0.0408,0.346,0.00886,0.109,0.349,116.994
760,JAY-Z,Lift Off,7,0.403,0.784,-7.584,0.171,0.187,0.00177,0.165,0.275,179.427
761,JAY-Z,Lift Off,7,0.403,0.784,-7.584,0.171,0.187,0.00177,0.165,0.275,179.427
762,Anderson .Paak,Put Me Thru,7,0.733,0.756,-4.819,0.0579,0.0642,5.06e-05,0.127,0.665,107.939
763,Anderson .Paak,Put Me Thru,7,0.733,0.756,-4.819,0.0579,0.0642,5.06e-05,0.127,0.665,107.939
764,Żabson,Biznesmen,7,0.732,0.769,-3.477,0.0338,0.0301,0.0,0.114,0.319,138.053
765,Żabson,Biznesmen,7,0.732,0.769,-3.477,0.0338,0.0301,0.0,0.114,0.319,138.053
766,Anderson .Paak,Am I Wrong,7,0.761,0.734,-8.665,0.0765,0.0745,0.00378,0.117,0.624,115.001
767,Anderson .Paak,Am I Wrong,7,0.761,0.734,-8.665,0.0765,0.0745,0.00378,0.117,0.624,115.001
768,Clairo,Sofia,7,0.744,0.619,-9.805,0.039,0.598,0.00372,0.231,0.641,112.997
769,Clairo,Sofia,7,0.744,0.619,-9.805,0.039,0.598,0.00372,0.231,0.641,112.997
770,Yves Tumor,Faith In Nothing Except In Salvation,7,0.252,0.567,-7.433,0.0381,0.0242,0.698,0.174,0.109,88.251
771,Yves Tumor,Faith In Nothing Except In Salvation,7,0.252,0.567,-7.433,0.0381,0.0242,0.698,0.174,0.109,88.251
772,Justin Bieber,Beauty And A Beat,7,0.601,0.843,-4.87,0.0593,0.000704,5.27e-05,0.0681,0.534,128.002
